subject,subject_label,relation,object,object_label,sentence,source_url
Los Angeles,GPE,host,Games,EVENT,"London and Paris have hosted three times, while Los Angeles, Athens, and Tokyo have each hosted twice; Los Angeles will host the Games for the third time in 2028.[2]",https://en.wikipedia.org/wiki/Summer_Olympic_Games
United States,GPE,host,the Summer Olympic Games,EVENT,"Hosting
[edit]The United States has hosted the Summer Olympic Games four times: the 1904 Games in St. Louis, Missouri; the 1932 and 1984 Games in Los Angeles, California, and the 1996 Games in Atlanta",https://en.wikipedia.org/wiki/Summer_Olympic_Games
United States,GPE,host,the 1904 Games,EVENT,"Hosting
[edit]The United States has hosted the Summer Olympic Games four times: the 1904 Games in St. Louis, Missouri; the 1932 and 1984 Games in Los Angeles, California, and the 1996 Games in Atlanta",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Tokyo,GPE,host,Summer Olympic Games,EVENT,"Tokyo (1964 and 2020) and Athens (1896 and 2004, excluding 1906) have each hosted two Summer Olympic Games.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Australia,GPE,host,the Summer Olympics,EVENT,"Australia, Germany, Greece and Japan have all hosted the Summer Olympics twice (with Australia hosting for the third time in 2032).",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Games,EVENT,be,Summer Olympics,EVENT,"The 2016 Games in Rio de Janeiro, Brazil, were the first Summer Olympics to be held in South America and the first that was held completely during the local ""winter"" season.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paris,GPE,host,Games,EVENT,"Paris hosted the 1924 Games, becoming the first two-time host city.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Nazi Party,ORG,commission,Leni Riefenstahl,PERSON,The ruling Nazi Party commissioned film-maker Leni Riefenstahl to film the games.,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Jacques Rogge,PERSON,describe,Games,EVENT,"In his closing address, Jacques Rogge described the Games as ""Happy and glorious"".",https://en.wikipedia.org/wiki/Summer_Olympic_Games
U.S.,GPE,host,the Summer Olympics,EVENT,"Future Games
[edit]The 2028 Summer Olympics will be held in Los Angeles, California, United States, making it the third city (after Paris (1900,1924, 2024) and London (1908, 1948, 2012)) to host the G",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Brezhnev,PERSON,open,the Moscow Games,EVENT,"IOC records state Brezhnev opened the Moscow Games as ""President"", a title used at that time by the Chairman of the Presidium of the Supreme Soviet, or de jure head of state.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Canada,GPE,host,Olympics,EVENT,"""Will Canada ever host another Olympics?",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paris,GPE,award,Games,EVENT,"Paris was awarded the Games at the 131st IOC Session in Lima, Peru, on 13 September 2017.",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Paris 2024,EVENT,be,Olympics,EVENT,"Paris 2024 was the first Olympics in history to reach full gender parity on the field of play, with equal numbers of male and female athletes.[12]",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Boston,GPE,surpass,Los Angeles,GPE,"Boston surpassed Los Angeles, San Francisco, and Washington, D.C., for the official U.S. bid.",https://en.wikipedia.org/wiki/2024_Summer_Olympics
IOC,ORG,announce,Los Angeles,GPE,"On 31 July 2017, the IOC announced Los Angeles as the sole candidate for 2028,[24][25] enabling Paris to be confirmed as host for 2024.",https://en.wikipedia.org/wiki/2024_Summer_Olympics
the Court of Arbitration for Sport,ORG,disqualify,Valieva,PERSON,"In January 2024, the Court of Arbitration for Sport disqualified Valieva for four years retroactive to 25 December 2021 for an anti-doping rule violation,[154] and the International Skating Union subs",https://en.wikipedia.org/wiki/2024_Summer_Olympics
The Antwerp Ceremony,EVENT,produce,National Olympic Committees,ORG,"The Antwerp Ceremony, in which the Olympic flag was handed to Los Angeles, the host city of the 2028 Summer Olympics, was produced by Ben Winston and his studio Fulwell 73.[164]
Participating National",https://en.wikipedia.org/wiki/2024_Summer_Olympics
IOC,ORG,suspend,the Olympic Committees,ORG,"Following the Russian invasion of Ukraine, the IOC suspended the Olympic Committees of Russia and Belarus for violating the Olympic Truce.",https://en.wikipedia.org/wiki/2024_Summer_Olympics
The 2024 Summer Olympics,EVENT,become,Summer Olympics,EVENT,The 2024 Summer Olympics became the first Summer Olympics in over 30 years to not have an official console video game.[197][198,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Deloitte,ORG,replace,Atos,ORG,"Atos and Intel let their sponsorships lapse; Deloitte would replace Atos as the IOC's lead technology integrator in 2025.[209]
Under an agreement as ""Premium"" sponsor reportedly valued at €150 million",https://en.wikipedia.org/wiki/2024_Summer_Olympics
IOC,ORG,suspend,the Russian Olympic Committee,ORG,"- ^ As of 26 July 2024
- ^ a b Individual Neutral Athletes is the name used to represent approved individual Belarusian and Russian athletes at the 2024 Summer Olympics, after the IOC suspended the Ru",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Los Angeles,GPE,award,2028 Games,DATE,"- ^ ""Paris set to host 2024 Olympics, Los Angeles to be awarded 2028 Games by IOC"".",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Axelle Saint-Cirel,PERSON,be,2024 Olympics,EVENT,"[2024 Olympics: Who is Axelle Saint-Cirel, who performed ""La Marseillaise"" during the opening ceremony?].",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Ben Winston,PERSON,talk,Grammys,WORK_OF_ART,"""Producer Ben Winston Talks Grammys, 'Kardashians' Future and Ellen DeGeneres Special"".",https://en.wikipedia.org/wiki/2024_Summer_Olympics
IOC Executive Board,ORG,admit,Paris 2024 Olympic Games,EVENT,"[IOC Executive Board admits neutral individual athletes to Paris 2024 Olympic Games, imposes strict eligibility requirements].",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Paris 2024,EVENT,be,Summer Olympics,EVENT,"""Paris 2024 is the first Summer Olympics in 30 years to have no console video game"".",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Deloitte,ORG,replace,Atos,ORG,"""Deloitte replaces Atos as Olympics lead tech integrator for LA 2028"".",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Paris 2024,ORG,sign,Sanofi,ORG,"""Paris 2024 signs Sanofi as top-tier sponsor for Olympics and Paralympics"".",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Paris 2024,EVENT,sign,Cisco,ORG,"""Paris 2024 signs Cisco as third official partner of Olympics and Paralympics"".",https://en.wikipedia.org/wiki/2024_Summer_Olympics
The 2020 Games,EVENT,be,Olympics,EVENT,"The 2020 Games were the fourth Olympics to be held in Japan, following the 1964 Summer Olympics (Tokyo), the 1972 Winter Olympics (Sapporo), and the 1998 Winter Olympics (Nagano).",https://en.wikipedia.org/wiki/2020_Summer_Olympics
Tokyo 2020,EVENT,be,Olympic Games,EVENT,"Because of the one-year postponement, Tokyo 2020 is the only Olympic Games to have taken place in an odd-numbered year.[10]",https://en.wikipedia.org/wiki/2020_Summer_Olympics
Bach,PERSON,ask,Suga,PERSON,"On 16 July, it was reported that Bach had asked Prime Minister Suga about the possibility that restrictions on spectators could be eased later on if COVID-19 conditions were to improve in Tokyo.[156]",https://en.wikipedia.org/wiki/2020_Summer_Olympics
Naruhito,PERSON,open,Games,EVENT,"Emperor Naruhito formally opened the Games, and at the end of the torch relay the Olympic cauldron was lit by Japanese tennis player Naomi Osaka.[173]",https://en.wikipedia.org/wiki/2020_Summer_Olympics
the World Anti-Doping Agency,ORG,ban,Russia,GPE,", Eswatini made its debut under that name after the renaming of the country by the king in 2018.[201]
On 9 December 2019, the World Anti-Doping Agency (WADA) banned Russia from all international sport",https://en.wikipedia.org/wiki/2020_Summer_Olympics
"Thu |
23rd Fri |
24th Sat |
25th Sun |
26th",DATE,"
","Mon |
27th",DATE,"|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 21st Wed |
22nd Thu |
23rd Fri |
24th Sat |
25th Sun |
26th Mon |
27th Tue |
28th Wed |
29th Thu |
30th Fri ",https://en.wikipedia.org/wiki/2020_Summer_Olympics
South Korea,GPE,ask,IOC,ORG,"Some Tōhoku residents questioned the decision to use the region as a host site, arguing that preparations for the Games slowed down recovery efforts, and that the region lost workers to projects assoc",https://en.wikipedia.org/wiki/2020_Summer_Olympics
London,GPE,host,Olympics,EVENT,"""Exclusive: Bailey calls for London to host Olympics if coronavirus forces Tokyo move"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
London,GPE,host,Olympics,EVENT,"""Tokyo governor criticizes suggestion that London could host 2020 Olympics"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
Tokyo 2020 Olympic Dates,EVENT,be,23 July to 8 August 2021,DATE,"""New Tokyo 2020 Olympic Dates Will Be 23 July to 8 August 2021"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
IOC Executive Board,ORG,recommend,Olympic News,ORG,"- ^ ""IOC Executive Board recommends 25 core sports for 2020 Games – Olympic News"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
North Korea,GPE,skip,the Tokyo Olympics,EVENT,"""North Korea, citing the pandemic, will skip the Tokyo Olympics"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
North Korea,GPE,skip,Tokyo Olympics,EVENT,"""North Korea skipping Tokyo Olympics over COVID-19 concerns"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
South Korea,GPE,ask,IOC,ORG,"""South Korea asks IOC to ban Japan's use of 'Rising Sun' flag at Olympics"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
S. Korea,GPE,urge,IOC,ORG,"- ^ ""S. Korea urges IOC to ban Japanese imperial flag from 2020 Olympics"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
Russia,GPE,accuse,Tokyo,GPE,"""Russia accuses Tokyo of politicizing games"".",https://en.wikipedia.org/wiki/2020_Summer_Olympics
Nawal El Moutawakel,PERSON,head,Evaluation Commission,ORG,"Nawal El Moutawakel of Morocco headed the 10-member Evaluation Commission, having also chaired the evaluation commission for the 2012 Summer Olympics bids, which was awarded to London, United Kingdom.",https://en.wikipedia.org/wiki/2016_Summer_Olympics
Roberta Sá,PERSON,channel,Carmen Miranda,PERSON,"In another segment, introducing the athletes, singer Roberta Sá channeled Carmen Miranda, the fruit-headdress-wearing, mid-century Hollywood diva who endures as a beloved camp figure.",https://en.wikipedia.org/wiki/2016_Summer_Olympics
Summer Olympics,EVENT,be,Games,EVENT,"The first three nations to qualify athletes for the Games were Germany, Great Britain, and the Netherlands, who each qualified four athletes for the team dressage by winning medals in the team event a",https://en.wikipedia.org/wiki/2016_Summer_Olympics
Gelli,PERSON,cite,Dance,ORG,"Gelli cited Dance as an influence of the logo's concept and stated that the designers had intentionally aimed to make the interpretation of the concept as dissimilar to others as possible.[97]
Concern",https://en.wikipedia.org/wiki/2016_Summer_Olympics
the International Association of Athletics Federations,ORG,suspend,Russia,GPE,"In November 2015, the World Anti-Doping Agency (WADA) published a report, and the International Association of Athletics Federations (IAAF) suspended Russia indefinitely from world track and field eve",https://en.wikipedia.org/wiki/2016_Summer_Olympics
Winter Olympics,EVENT,bypass,the Southern Hemisphere,LOC,"""Why Winter Olympics Bypass the Southern Hemisphere"".",https://en.wikipedia.org/wiki/2016_Summer_Olympics
IPC,ORG,suspend,the Russian Paralympic Committee,ORG,"""The IPC suspends the Russian Paralympic Committee with immediate effect"".",https://en.wikipedia.org/wiki/2016_Summer_Olympics
IOC,ORG,organise,Olympic Games,EVENT,"The IOC organises the modern Olympic Games and Youth Olympic Games (YOG), held in summer and winter every four years.",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,shift,the Winter Olympics,EVENT,"After that year, however, the IOC shifted the Winter Olympics to the even years between Summer Games to help space the planning of the two events from one another, and to improve the financial balance",https://en.wikipedia.org/wiki/International_Olympic_Committee
Samaranch,PERSON,appoint,Richard Pound,PERSON,"Samaranch appointed Canadian IOC member Richard Pound to lead the initiative as Chairman of the ""New Sources of Finance Commission"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,draft,International Sport and Leisure,ORG,"In 1982, the IOC drafted International Sport and Leisure, a Swiss sports marketing company, to develop a global marketing programme for the Olympic Movement.",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,improve,the Olympic Games.[46,EVENT,"- IOC Sustainability and Legacy Commission focuses on how the IOC can improve the strategies and policies associated with environmental health throughout the process of hosting the Olympic Games.[46]
",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,offer,Games,EVENT,"Denver officially withdrew on 15 November: the IOC then offered the Games to Whistler, British Columbia, Canada, but they too declined due to a change of government following elections.
Salt Lake City",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,invite,Innsbruck,GPE,"On 5 February 1973, the IOC invited Innsbruck, the city that had hosted the Games twelve years earlier.",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,suspend,the Olympic Committee,ORG,"In September 2021, the IOC suspended the Olympic Committee of the Democratic People's Republic of Korea, after they boycotted the 2020 Summer Olympics claiming ""COVID-19 Concerns"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,suspend,NOC,ORG,"On 8 September 2021, after the IOC suspended the North Korean NOC for not being present at the 2020 Summer Olympics, there was speculation about whether the IOC was also intending to send a message to",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,suspend,London 2012,EVENT,"Following the denial of her appeal by the Court of Arbitration for Sport, the IOC suspended the policy for the 2016 Summer Olympics and 2018 Winter Olympics.[92]
London 2012 and the Munich massacre
[e",https://en.wikipedia.org/wiki/International_Olympic_Committee
the World Athletics,ORG,suspend,Russia,GPE,"In November 2015, the World Anti-Doping Agency (WADA) published a report and the World Athletics (then known as the IAAF) suspended Russia indefinitely from world track and field events.",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,ban,Russia,GPE,"]
Russian invasion of Ukraine
[edit]Following the Russian invasion of Ukraine on 24 February 2022, which began shortly after the 2022 Winter Olympics, the IOC banned Russia and Belarus and recommended",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,ban,Vladyslav Heraskevych,PERSON,"The ban on Russia remained in place.[142][143]
In February 2026, during the 2026 Winter Olympics, the IOC banned Ukrainian skeleton pilot Vladyslav Heraskevych after he wore a helmet featuring images ",https://en.wikipedia.org/wiki/International_Olympic_Committee
Heraskevych,PERSON,accuse,IOC,ORG,"The ban was controversial, with Heraskevych accusing the IOC of fuelling Russian propaganda, Ukrainian president Volodymyr Zelenskyy also criticized the decision, saying it played ″into the hands of a",https://en.wikipedia.org/wiki/International_Olympic_Committee
Israel,GPE,accuse,IOC,ORG,"The ban was controversial, with Heraskevych accusing the IOC of fuelling Russian propaganda, Ukrainian president Volodymyr Zelenskyy also criticized the decision, saying it played ″into the hands of a",https://en.wikipedia.org/wiki/International_Olympic_Committee
Russia,GPE,accuse,IOC,ORG,"The ban was controversial, with Heraskevych accusing the IOC of fuelling Russian propaganda, Ukrainian president Volodymyr Zelenskyy also criticized the decision, saying it played ″into the hands of a",https://en.wikipedia.org/wiki/International_Olympic_Committee
IFMA,ORG,congratulate,Kirsty Coventry,PERSON,"^ ""IFMA Congratulates Kirsty Coventry on Historic Election as IOC President – International Federation of Muaythai Associations"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IFMA,ORG,congratulate,International Federation of Muaythai Associations,ORG,"^ ""IFMA Congratulates Kirsty Coventry on Historic Election as IOC President – International Federation of Muaythai Associations"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,take,Nike,ORG,"- ^ ""How the IOC took on Nike in Atlanta"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
Canada,GPE,host,the World Championship,EVENT,"- ^ Podnieks & Szemberg 2008, Story #40–Finally, Canada to host the World Championship Archived 10 October 2017 at the Wayback Machine.",https://en.wikipedia.org/wiki/International_Olympic_Committee
IPC,ORG,suspend,the Russian Paralympic Committee,ORG,"- ^ ""The IPC suspends the Russian Paralympic Committee with immediate effect"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,suspend,NOC,ORG,"- ^ ""IOC suspends Russian NOC and creates a path for clean individual athletes to compete in Pyeongchang 2018 under the Olympic Flag"" (Press release).",https://en.wikipedia.org/wiki/International_Olympic_Committee
International Olympic Committee,ORG,warn,Taiwan,GPE,"- ^ ""International Olympic Committee warns Taiwan against name-change that would rile Beijing"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC Executive Board,ORG,suspend,Russian Olympic Committee,ORG,"""IOC Executive Board suspends Russian Olympic Committee with immediate effect"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
Russia,GPE,accuse,Olympic Committee,ORG,"""Russia accuses Olympic Committee of 'racism and neo-Nazism' over opening ceremony decision"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IOC,ORG,ban,Vladyslav Heraskevych,PERSON,"""IOC bans Ukrainian skeleton pilot Vladyslav Heraskevych over 'helmet of remembrance'"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
Salt Lake,GPE,award,Olympics,EVENT,"""Salt Lake Awarded 2034 Olympics Under I.O.C. Pressure Over Doping Inquiries"".",https://en.wikipedia.org/wiki/International_Olympic_Committee
IAAF,ORG,hold,a 50 km walk World Championships,EVENT,"The roster of events has not changed since then, with the exception of the omission of the long racewalk in 1976 (the IAAF held a 50 km walk World Championships that year instead and as a result the e",https://en.wikipedia.org/wiki/Athletics_at_the_Summer_Olympics
Pierre de Coubertin,PERSON,found,the International Olympic Committee,ORG,"Baron Pierre de Coubertin founded the International Olympic Committee (IOC) in 1894, leading to the first modern Games in Athens in 1896.",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,endorse,Deaflympics,EVENT,The IOC also endorses the Deaflympics and the Special Olympics.,https://en.wikipedia.org/wiki/Olympic_Games
Macedonia,GPE,conquer,Greece,GPE,"However, after Macedonia, and then Rome, conquered Greece, the ten Olympic judges loosened the earlier standard and permitted anyone who spoke Greek to participate.[11]: 50",https://en.wikipedia.org/wiki/Olympic_Games
Olympiad,EVENT,name,the third year,DATE,"For the first thirteen Olympics, the stadion footrace was the only event contested,[11]: 145 [20] and victory in that sprint was so valued that the next Olympiad was named after the winner, e.g. ""the ",https://en.wikipedia.org/wiki/Olympic_Games
Liverpool,GPE,hold,Grand Olympic Festival,EVENT,"The Wenlock Olympian Society was founded by Brookes on 15 November 1860.[32]: 28
Between 1862 and 1867, Liverpool held an annual Grand Olympic Festival.",https://en.wikipedia.org/wiki/Olympic_Games
Hulley,PERSON,found,the National Olympian Association,ORG,"In 1865 Hulley, Brookes and E. G. Ravenstein founded the National Olympian Association in Liverpool, a forerunner of the British Olympic Association.",https://en.wikipedia.org/wiki/Olympic_Games
Zappas,PERSON,sponsor,Olympic Games,EVENT,"Zappas sponsored the first Olympic Games in 1859, which was held in an Athens city square.",https://en.wikipedia.org/wiki/Olympic_Games
The Winter Olympics,EVENT,create,Winter Games,EVENT,"Winter Games
The Winter Olympics was created to feature snow and ice sports that were logistically impossible to hold during the Summer Games.",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,recognise,the Aruban Olympic Committee,ORG,"Consequently, the IOC did not allow the formation of NOCs for Sint Maarten and Curaçao when they gained the same constitutional status as Aruba in 2010, although the IOC had recognised the Aruban Olym",https://en.wikipedia.org/wiki/Olympic_Games
Summer Games,EVENT,be,Beijing,EVENT,"The most expensive Summer Games were Beijing 2008 at US$40–44 billion,[71] and the most expensive Winter Games were Sochi 2014 at US$51 billion.[72][73]",https://en.wikipedia.org/wiki/Olympic_Games
Winter Games,EVENT,be,Sochi,EVENT,"The most expensive Summer Games were Beijing 2008 at US$40–44 billion,[71] and the most expensive Winter Games were Sochi 2014 at US$51 billion.[72][73]",https://en.wikipedia.org/wiki/Olympic_Games
the International Society of Olympic Historians,ORG,publish,the Journal of Olympic History.[83,ORG,"Founded in 1991, the International Society of Olympic Historians publishes the Journal of Olympic History.[83]
Some economists are sceptical about the economic benefits of hosting the Olympic Games, e",https://en.wikipedia.org/wiki/Olympic_Games
Winter Olympics,EVENT,be,Olympic Games,EVENT,"The 2014 Winter Olympics in Sochi were the most expensive Olympic Games in history, costing in excess of US$50 billion.",https://en.wikipedia.org/wiki/Olympic_Games
the Hellenic Olympic Committee,ORG,be,NOC,ORG,"For example, the Hellenic Olympic Committee (HOC) is the NOC of Greece, officially the Hellenic Republic.",https://en.wikipedia.org/wiki/Olympic_Games
Coca-Cola,ORG,sponsor,the Summer Olympics,EVENT,"Coca-Cola first sponsored the Summer Olympics in 1928, and has remained an Olympic sponsor ever since.[114]",https://en.wikipedia.org/wiki/Olympic_Games
Winter Olympics,EVENT,be,"Olympic Games,[124",EVENT,"The 1956 Winter Olympics in Italy were the first internationally televised Olympic Games,[124] and the broadcasting rights for the following Winter Games in California were sold for the first time to ",https://en.wikipedia.org/wiki/Olympic_Games
Much Wenlock,GPE,host,the Wenlock Olympian Games,EVENT,"Much Wenlock still hosts the Wenlock Olympian Games, which were an inspiration to Pierre de Coubertin for the Olympic Games.[154]",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,establish,an Olympic Programme Commission,ORG,"In October and November 2004, the IOC established an Olympic Programme Commission, tasked with reviewing the sports on the Olympic programme and all non-Olympic recognised sports.",https://en.wikipedia.org/wiki/Olympic_Games
Cambodia,GPE,boycott,Games,EVENT,"The Olympic Council of Ireland withdrew from the 1936 Berlin Games, because the IOC insisted its team needed to be restricted to the Irish Free State rather than representing the entire island of Irel",https://en.wikipedia.org/wiki/Olympic_Games
the People's Republic of China,GPE,boycott,Games,EVENT,"The Olympic Council of Ireland withdrew from the 1936 Berlin Games, because the IOC insisted its team needed to be restricted to the Irish Free State rather than representing the entire island of Irel",https://en.wikipedia.org/wiki/Olympic_Games
The United States,GPE,boycott,the Moscow Olympics,EVENT,The United States and sixty-five other countries boycotted the Moscow Olympics in 1980 because of the Soviet invasion of Afghanistan.,https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,form,the World Anti-Doping Agency,ORG,"In 1999, the IOC formed the World Anti-Doping Agency (WADA) in an effort to systematise the research and detection of performance-enhancing drugs.",https://en.wikipedia.org/wiki/Olympic_Games
CAS,ORG,disqualify,Valieva,PERSON,"On 29 January 2024, the CAS disqualified Valieva for four years retroactive to 25 December 2021 for an anti-doping rule violation.[257][258]
Sex discrimination
Women were first allowed to compete at t",https://en.wikipedia.org/wiki/Olympic_Games
George W. Bush,PERSON,attend,Olympics,EVENT,Both American President George W. Bush and Russian Prime Minister Vladimir Putin were attending the Olympics at that time and spoke together about the conflict at a luncheon hosted by the Chinese pres,https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,suspend,the Russian Olympic Committee,ORG,"In October 2023, the IOC suspended the Russian Olympic Committee for incorporating the four annexed Ukrainian regions into its charter, and the suspension was upheld in February 2024 by CAS.[283]",https://en.wikipedia.org/wiki/Olympic_Games
Games,EVENT,be,Olympics,EVENT,The 2016 Games in Rio de Janeiro were the first Olympics for a South American country.,https://en.wikipedia.org/wiki/Olympic_Games
Rogge,PERSON,want,Youth Olympic Games,EVENT,"- ^ ""Rogge wants Youth Olympic Games"".",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,approve,Youth Olympics,EVENT,"""IOC approves Youth Olympics; first set for 2010"".",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,introduce,Youth Olympic Games,EVENT,"- ^ ""IOC to Introduce Youth Olympic Games in 2010"".",https://en.wikipedia.org/wiki/Olympic_Games
AIMS,ORG,congratulate,Kirsty Coventry,PERSON,"- ^ ""AIMS congratulates Kirsty Coventry on her historic election as the IOC President – AIMS"".",https://en.wikipedia.org/wiki/Olympic_Games
London,GPE,win,Olympics,EVENT,"""London Wins 2012 Olympics; New York Lags"".",https://en.wikipedia.org/wiki/Olympic_Games
Turin,GPE,get,Games,EVENT,"""How Turin got the Games"".",https://en.wikipedia.org/wiki/Olympic_Games
Canada,GPE,host,the World Championship,EVENT,"- ^ ""Finally, Canada to Host the World Championship"".",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,order,Belarus,GPE,"- ^ ""IOC Orders Belarus to Return Gold"".",https://en.wikipedia.org/wiki/Olympic_Games
IOC,ORG,suspend,Russian Olympic Committee,ORG,"- ^ Shachar 2011, pp. 2114–2116.
- ^ ""IOC suspends Russian Olympic Committee for incorporating Ukrainian sports regions"".",https://en.wikipedia.org/wiki/Olympic_Games
Africa,LOC,host,the Olympic Games,EVENT,"- ^ ""Will Africa ever host the Olympic Games as Egypt prepares 2036 bid?"".",https://en.wikipedia.org/wiki/Olympic_Games
